video_id,video_title,num_collaborators,collaborator_1,collaborator_2,collaborator_3,collaborator_4,collaborator_5,link
ywxNGULlpyo,ШЕРИФ СО СВОЕЙ КОМАНДОЙ ПОХИТИЛ СУПРУЖЕСКУЮ ПАРУ! Вы все сдохнете! Русские сериалы,0,,,,,,https://www.youtube.com/watch?v=ywxNGULlpyo
0A5fqGP25M0,Spider-Man and Miles Morales being ✨unpredictable✨,0,,,,,,https://www.youtube.com/watch?v=0A5fqGP25M0
-O9imBh8HoU,Xuan dong vlog makes funny fun,0,,,,,,https://www.youtube.com/watch?v=-O9imBh8HoU
qJTgTZ1aEO4,"Jaan Ki Baazi Hindi Dubbed l Thulasi Nair l South Superhit Movie l Nassar, Nawab Shah",0,,,,,,https://www.youtube.com/watch?v=qJTgTZ1aEO4
6tinSmwhf1w,Break off pasta sticks,0,,,,,,https://www.youtube.com/watch?v=6tinSmwhf1w
-wg1v8bVY7w,Sonic and Pomni have a Food Fight 🌭 | Boost your Shorts with “ANDY DARLING - NEVER ENOUGH” 🚀🔥,2,Sonic,Pomni,,,,https://www.youtube.com/watch?v=-wg1v8bVY7w
TXoSJsAtAWg,Trend-Video-Shorts جعل خيار واحد فقط,0,,,,,,https://www.youtube.com/watch?v=TXoSJsAtAWg
6eXXokby0CQ,No lipstick allowed ❌ but still she sneak it into the party 💄💋,0,,,,,,https://www.youtube.com/watch?v=6eXXokby0CQ
5XUQTDjZxlA,"【Multi-sub】Cycle Love EP06 | Li Mingyuan, Chen Yaxi | 循环恋爱中 | Fresh Drama",1,Li Ming Yuan,,,,,https://www.youtube.com/watch?v=5XUQTDjZxlA
FsloczXIaBM,Protect wild animals with Nico! #funny #nico #pets #smartnico #dog,0,,,,,,https://www.youtube.com/watch?v=FsloczXIaBM
nkNjoPBSyRQ,"If you want to build real wealth, having a high IQ can be a game-changer.",0,,,,,,https://www.youtube.com/watch?v=nkNjoPBSyRQ
SD0ue8A6T3M,This Family Have a Big Problem,0,,,,,,https://www.youtube.com/watch?v=SD0ue8A6T3M
QaC-WTdZpQo,Blind and Deaf Dog Recognizes Owner By Smell || ViralHog,0,,,,,,https://www.youtube.com/watch?v=QaC-WTdZpQo
u2bC9gnm3J8,It’s called method acting. #TheChosen,0,,,,,,https://www.youtube.com/watch?v=u2bC9gnm3J8
8dusOGzpRqc,Grand Prairie ISD school board meets tonight amid legal battle with superintendent,0,,,,,,https://www.youtube.com/watch?v=8dusOGzpRqc
VhMh0pB07FM,"СПЕЦГРУППА ОТПРАВЛЯЕТСЯ В ЛИВАН, ЧТОБЫ ОТОМСТИТЬ ЗА ГИБЕЛЬ СОСЛУЖИВЦЕВ! Стрелок! Русские сериалы",0,,,,,,https://www.youtube.com/watch?v=VhMh0pB07FM
5ZQu3VnvWSU,Hammer Slips From Man,0,,,,,,https://www.youtube.com/watch?v=5ZQu3VnvWSU
N7mmWnNxY_U,Off road in the steep desert,0,,,,,,https://www.youtube.com/watch?v=N7mmWnNxY_U
r_mMZ5z9Aco,"SNACKING MADNESS in the Kitchen 🤣 | Boost your Shorts with ”LA LA LIFE, SUE DJ - GOOD 4 YOU” 🚀🔥",2,LA LA LIFE,SUE DJ,,,,https://www.youtube.com/watch?v=r_mMZ5z9Aco
r5bhGVb6BsU,Godfrey On Shannon Sharpe Being Called Gay | CLUB SHAY SHAY,0,,,,,,https://www.youtube.com/watch?v=r5bhGVb6BsU
ZcwvpjClIlg,¿Quién Puede Deslizarse Más Fácilmente En El Hielo?,0,,,,,,https://www.youtube.com/watch?v=ZcwvpjClIlg
Wson7hxHDkM,This is why you should always wear a seatbelt on a plane 👏 #viral,0,,,,,,https://www.youtube.com/watch?v=Wson7hxHDkM
4Rwjiv0UKTg,Backstage 😍✨,0,,,,,,https://www.youtube.com/watch?v=4Rwjiv0UKTg
4X_HunJusJ0,Which lighter is the champion,0,,,,,,https://www.youtube.com/watch?v=4X_HunJusJ0
_FJgXqDfUjM,AMAZING RAINBOW CHALLENGES AND HACKS || Ideas to Brighten Up Your Day! Colorful DIY,0,,,,,,https://www.youtube.com/watch?v=_FJgXqDfUjM
OTj393lYPjs,BREAKING: Trump—Flanked By Matt Gaetz & Anna Paulina Luna—Speaks To Reporters Before Cohen Testimony,1,Matt Gaetz,,,,,https://www.youtube.com/watch?v=OTj393lYPjs
GpdjOZQRlhE,Game Changer Season 6 Finale Teaser,0,,,,,,https://www.youtube.com/watch?v=GpdjOZQRlhE
XyhFem-NnDk,New shopping center planned for North Texas city,0,,,,,,https://www.youtube.com/watch?v=XyhFem-NnDk
tUAr7JFeFa0,Ce Qui Arrive Quand Tu Gagnes Au Loto,0,,,,,,https://www.youtube.com/watch?v=tUAr7JFeFa0
KXdR2bhsp2s,,0,,,,,,https://www.youtube.com/watch?v=KXdR2bhsp2s
